timestamp,open,high,low,close
2023-09-24,1.06927,1.07270,1.05773,1.06485
2023-09-17,1.07504,1.07654,1.06347,1.06683
2023-09-10,1.07945,1.07991,1.06876,1.07181
2023-09-03,1.08256,1.09455,1.07740,1.07759
2023-08-27,1.08984,1.09320,1.07667,1.07974
2023-08-20,1.09099,1.09497,1.08465,1.08756
2023-08-13,1.10032,1.10584,1.08775,1.09444
2023-08-06,1.09976,1.10409,1.09136,1.10027
2023-07-30,1.10632,1.11520,1.09470,1.10243
2023-07-23,1.12376,1.12757,1.10688,1.11253
2023-07-16,1.10059,1.12511,1.09786,1.12278
2023-07-09,1.09131,1.09928,1.08343,1.09697
2023-07-02,1.09105,1.09761,1.08365,1.09075
2023-06-25,1.09243,1.10112,1.08451,1.09067
2023-06-18,1.07630,1.09710,1.07606,1.09421
2023-06-11,1.07118,1.07897,1.06673,1.07509
2023-06-04,1.07077,1.07794,1.06517,1.06986
2023-05-28,1.08110,1.08213,1.07021,1.07231
2023-05-21,1.08737,1.09036,1.07610,1.08228
2023-05-14,1.09961,1.10047,1.08486,1.08527
2023-05-07,1.09692,1.10914,1.09435,1.10187
2023-04-30,1.10595,1.10941,1.09656,1.10109
2023-04-23,1.09254,1.10342,1.09183,1.09923
2023-04-16,1.08693,1.10754,1.08680,1.09866
2023-04-09,1.09123,1.09716,1.08325,1.09136
2023-04-02,1.08071,1.09259,1.07893,1.08033
2023-03-26,1.07191,1.09290,1.07049,1.07782
2023-03-19,1.07250,1.07601,1.05203,1.06789
2023-03-12,1.06883,1.07372,1.05266,1.06837
2023-03-05,1.06112,1.06938,1.05657,1.06262
2023-02-26,1.06826,1.06956,1.05335,1.05548
2023-02-19,1.07304,1.07984,1.06138,1.06844
2023-02-12,1.07308,1.07904,1.06572,1.06777
2023-02-05,1.08507,1.10266,1.07183,1.07909
2023-01-29,1.08743,1.09326,1.08388,1.08715
2023-01-22,1.08301,1.09195,1.07670,1.08651
2023-01-15,1.07332,1.08755,1.07132,1.08246
2023-01-08,1.06777,1.07595,1.04853,1.06563
2023-01-01,1.06402,1.07124,1.06123,1.07097
2022-12-25,1.06146,1.06575,1.05807,1.06678
2022-12-18,1.05417,1.07256,1.05293,1.05850
2022-12-11,1.04969,1.05884,1.04438,1.05222
2022-12-04,1.03455,1.05941,1.02923,1.05442
2022-11-27,1.02457,1.04967,1.02434,1.03675
2022-11-20,1.03193,1.04755,1.02270,1.03309
2022-11-13,1.00186,1.03503,0.99378,1.03286
2022-11-06,0.98863,1.00050,0.97312,0.99288
2022-10-30,0.98865,1.00949,0.98522,0.99550
2022-10-23,0.98464,0.98896,0.97073,0.98601
2022-10-16,0.97101,0.98471,0.96359,0.97394
2022-10-09,0.98321,0.99942,0.96825,0.97350
2022-10-02,0.96237,0.98500,0.95402,0.97927
2022-09-25,1.00296,1.00503,0.95823,0.96899
2022-09-18,1.01296,1.01875,0.99458,1.00223
2022-09-11,0.99522,1.01968,0.98651,1.00714
2022-09-04,1.00140,1.00774,0.98808,0.99094
2022-08-28,0.99395,1.00883,0.99031,0.99387
2022-08-21,1.01620,1.01978,0.99277,1.00352
2022-08-14,1.01976,1.03691,1.01823,1.02564
2022-08-07,1.02614,1.02931,1.01232,1.01709
2022-07-31,1.02249,1.02775,1.01074,1.02083
2022-07-24,1.01452,1.02754,1.01257,1.02002
2022-07-17,1.00475,1.01989,0.99536,1.00963
2022-07-10,1.04332,1.04486,1.00543,1.01661
2022-07-03,1.05809,1.06050,1.03699,1.04340
2022-06-26,1.05208,1.06143,1.04719,1.05661
2022-06-19,1.04151,1.05517,1.03826,1.04914
2022-06-12,1.06914,1.07701,1.04191,1.04900
2022-06-05,1.07735,1.07749,1.06317,1.07261
2022-05-29,1.06821,1.07852,1.06441,1.07315
2022-05-22,1.04390,1.06903,1.04324,1.05698
2022-05-15,1.05658,1.05858,1.03520,1.04006
2022-05-08,1.05091,1.06400,1.04854,1.05322
2022-05-01,1.07142,1.07388,1.04729,1.05360
2022-04-24,1.07818,1.09347,1.07003,1.08110
2022-04-17,1.08780,1.09226,1.07586,1.08153
2022-04-10,1.09759,1.09914,1.08369,1.08849
2022-04-03,1.09938,1.11831,1.09705,1.10473
2022-03-27,1.10164,1.10457,1.09454,1.09819
2022-03-20,1.09454,1.11179,1.09395,1.10431
2022-03-13,1.08696,1.11162,1.08512,1.09321
2022-03-06,1.12147,1.12322,1.08086,1.08745
2022-02-27,1.13097,1.13638,1.11105,1.11810
2022-02-20,1.13061,1.13932,1.13058,1.13172
2022-02-13,1.14409,1.14942,1.12928,1.13651
2022-02-06,1.12291,1.14837,1.12221,1.14552
2022-01-30,1.13239,1.13250,1.11234,1.11524
2022-01-23,1.14129,1.14234,1.12914,1.13415
2022-01-16,1.13327,1.14837,1.13155,1.14107
2022-01-09,1.13020,1.13598,1.12735,1.13540
2022-01-02,1.13298,1.13792,1.12754,1.13735
2021-12-26,1.12767,1.13456,1.12618,1.13243
2021-12-19,1.12834,1.13636,1.12373,1.12435
2021-12-12,1.12845,1.13456,1.12313,1.13118
2021-12-05,1.12936,1.13817,1.12461,1.13048
2021-11-28,1.12435,1.13220,1.11878,1.12932
2021-11-21,1.13674,1.13870,1.12382,1.12757
2021-11-14,1.15887,1.16090,1.14170,1.14417
2021-11-07,1.16017,1.16171,1.15141,1.15688
2021-10-31,1.16117,1.16932,1.15467,1.15567
2021-10-24,1.16145,1.16700,1.15933,1.16401
2021-10-17,1.15529,1.16250,1.15306,1.15970
2021-10-10,1.16166,1.16225,1.15302,1.15660
2021-10-03,1.16960,1.17060,1.15639,1.16073
2021-09-26,1.17257,1.17510,1.16842,1.17230
2021-09-19,1.18107,1.18470,1.17006,1.17299
2021-09-12,1.18739,1.18878,1.17706,1.18119
2021-09-05,1.17994,1.19076,1.17951,1.18859
2021-08-29,1.17467,1.18119,1.17281,1.17990
2021-08-22,1.17799,1.17841,1.16649,1.16976
2021-08-15,1.17390,1.18036,1.17064,1.17947
2021-08-08,1.18749,1.19020,1.17418,1.17495
2021-08-01,1.18064,1.19110,1.17718,1.18670
2021-07-25,1.17925,1.18298,1.17536,1.17734
2021-07-18,1.18649,1.18779,1.17643,1.18140
2021-07-11,1.18615,1.18963,1.17824,1.18730
2021-07-04,1.19303,1.19303,1.18193,1.18562
2021-06-27,1.19116,1.19745,1.18824,1.19422
2021-06-20,1.21242,1.21492,1.18488,1.18737
2021-06-13,1.21896,1.22190,1.20950,1.21102
2021-06-06,1.22341,1.22541,1.21055,1.21684
2021-05-30,1.22145,1.22670,1.21334,1.21901
2021-05-23,1.21552,1.22480,1.21541,1.21832
2021-05-16,1.21421,1.21797,1.20531,1.21504
2021-05-09,1.20598,1.21773,1.19873,1.21711
2021-05-02,1.20792,1.21521,1.20149,1.20278
2021-04-25,1.20438,1.21183,1.20000,1.20898
2021-04-18,1.19121,1.20482,1.18843,1.19694
2021-04-11,1.18191,1.19232,1.17965,1.19005
2021-04-04,1.17691,1.18161,1.17045,1.17682
2021-03-28,1.19333,1.19432,1.17618,1.17880
2021-03-21,1.19273,1.19910,1.18749,1.18831
2021-03-14,1.18520,1.19904,1.18361,1.19500
2021-03-07,1.20491,1.21105,1.18483,1.19256
2021-02-28,1.21669,1.22416,1.20299,1.20896
2021-02-21,1.21324,1.21710,1.20256,1.21264
2021-02-14,1.20525,1.21510,1.20502,1.21221
2021-02-07,1.20677,1.20880,1.19536,1.20488
2021-01-31,1.21433,1.21750,1.20620,1.21239
2021-01-24,1.20785,1.21880,1.20777,1.21694
2021-01-17,1.21616,1.22249,1.20555,1.20681
2021-01-10,1.22530,1.23503,1.21347,1.21862
2021-01-03,1.22200,1.23100,1.21350,1.22507
2020-12-27,1.22384,1.22590,1.21578,1.22051
2020-12-20,1.21487,1.22684,1.21270,1.22161
2020-12-13,1.21095,1.21740,1.20739,1.21334
2020-12-06,1.19377,1.21778,1.19360,1.21214
2020-11-29,1.18418,1.20021,1.18389,1.19715
2020-11-22,1.18597,1.19059,1.18032,1.18665
2020-11-15,1.18233,1.18687,1.17473,1.18453
2020-11-08,1.16428,1.19192,1.16077,1.18930
2020-11-01,1.18094,1.18380,1.16244,1.16421
2020-10-25,1.17680,1.18821,1.17626,1.18485
2020-10-18,1.18142,1.18142,1.16902,1.17155
2020-10-11,1.17883,1.18273,1.17254,1.18168
2020-10-04,1.16777,1.17966,1.16666,1.17204
2020-09-27,1.17618,1.17730,1.16135,1.16353
2020-09-20,1.18669,1.19010,1.17327,1.18455
2020-09-13,1.18192,1.19147,1.17536,1.18427
2020-09-06,1.19392,1.20113,1.17817,1.18345
2020-08-30,1.17952,1.19636,1.17662,1.19182
2020-08-23,1.18793,1.19652,1.17549,1.17980
2020-08-16,1.17376,1.18807,1.17130,1.18525
2020-08-09,1.17606,1.19118,1.17241,1.17827
2020-08-02,1.17665,1.19080,1.17010,1.17823
2020-07-26,1.14576,1.17795,1.14262,1.16526
2020-07-19,1.13458,1.14679,1.13263,1.14430
2020-07-12,1.13103,1.13727,1.12572,1.13100
2020-07-05,1.12471,1.13469,1.11892,1.12472
2020-06-28,1.12771,1.13490,1.11914,1.12259
2020-06-21,1.13380,1.13498,1.11739,1.11776
2020-06-14,1.13029,1.14002,1.12288,1.12520
2020-06-07,1.11256,1.13840,1.11157,1.13195
2020-05-31,1.09011,1.11520,1.08984,1.11185
2020-05-24,1.09158,1.10087,1.08720,1.09078
2020-05-17,1.08092,1.09127,1.07766,1.08213
